"shortlet_name","shortlet_url","shortlet_Address","shortlet_Price"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-no-10-ayodele-odubiyi-street-off-oriwu-street-lekki-phase-1-lekki-lagos-5GQEW","No 10, Ayodele Odubiyi Street, Off Oriwu Street Lekki Phase 1 Lekki Lagos","95,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-house-14-did-limited-oasis-park-apartment-muritala-elwtu-way-osapa-london-lekki-lagos-9GPYE","House 14, Did Limited, Oasis Park Apartment, Muritala Elwtu Way Osapa London Lekki Lagos","85,000/day"
"4 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-shortlet-17-orumbe-close-victoria-island-victoria-island-lagos-5GQCB","17, Orumbe Close, Victoria Island Victoria Island Lagos","120,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-diamond-estate-apple-junction-amuwo-odofin-lagos-7KKJF","Diamond Estate, Apple Junction Amuwo Odofin Lagos","95,000/day"
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-diamond-estate-apple-junction-amuwo-odofin-lagos-7KKJH","Diamond Estate, Apple Junction Amuwo Odofin Lagos","80,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-diamond-estate-apple-junction-amuwo-odofin-lagos-2KKJJ","Diamond Estate, Apple Junction Amuwo Odofin Lagos","95,000/day"
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-diamond-estate-apple-junction-amuwo-odofin-lagos-8KKJJ","Diamond Estate, Apple Junction Amuwo Odofin Lagos","80,000/day"
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-amuwo-ago-palace-way-apple-junction-amuwo-odofin-lagos-8KNBS","Amuwo Ago Palace Way Apple Junction Amuwo Odofin Lagos","60,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-eko-atlantic-victoria-island-lagos-1JSNH","Eko Atlantic Victoria Island Lagos","250,000/day"
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-shonibare-estate-maryland-mobolaji-bank-anthony-way-ikeja-lagos-5ESHR","Shonibare Estate, Maryland Mobolaji Bank Anthony Way Ikeja Lagos","45,000"
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-lekki-phase-1-lekki-lagos-1EGTZ","Lekki Phase 1 Lekki Lagos","75,000"
"1 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-shortlet-ikate-lekki-lagos-6CBQM","Ikate Lekki Lagos","45,000"
"1 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-shortlet-shonibare-estate-mobolaji-bank-anthony-way-ikeja-lagos-1DUMY","Shonibare Estate Mobolaji Bank Anthony Way Ikeja Lagos","35,000"
"1 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-shortlet-behind-don-etiebet-building-eko-hospital-bustop-mobolaji-bank-anthony-way-ikeja-lagos-4EALD","Behind Don Etiebet Building, Eko Hospital Bustop Mobolaji Bank Anthony Way Ikeja Lagos","25,000"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-1004-victoria-island-lagos-0DVGL","1004 Victoria Island Lagos","40,000"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-magbounje-road-off-oniru-new-market-road-oniru-estate-oniru-victoria-island-lagos-8FSQW","Magbounje Road Off Oniru New Market Road, Oniru Estate Oniru Victoria Island Lagos","2,000,000/year"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-eko-atlantic-victoria-island-lagos-2HVFT","Eko Atlantic Victoria Island Lagos","185,000/day"
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-shonibare-estate-maryland-ikeja-lagos-2DTSY","Shonibare Estate Maryland Ikeja Lagos","50,000"
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-ozumba-kofo-abayomi-victoria-island-lagos-9DTDL","Ozumba Kofo Abayomi Victoria Island Lagos","90,000/day"
"3 BEDROOM HOUSE FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-house-for-shortlet-ikota-lekki-lagos-3CSBD",".... Ikota Lekki Lagos","35,000"
"3 BEDROOM HOUSE FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-house-for-shortlet-ikoyi-lagos-5KHBY","Ikoyi Lagos","260,000/day"
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-old-ikoyi-lagos-6JNZR","Old Ikoyi Lagos","340/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-eko-atlantic-victoria-island-lagos-8HVJM","Eko Atlantic Victoria Island Lagos","195,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-eko-atlantic-victoria-island-lagos-1JNQM","Eko Atlantic Victoria Island Lagos","185,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-gerard-road-ikoyi-lagos-K3216","Gerard Road Ikoyi Lagos","35,000"
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-eko-atlantic-eko-pearl-victoria-island-lagos-1JPCM","Eko Atlantic Eko Pearl Victoria Island Lagos","165,000/day"
"CO WORKING SPACE FOR SHORTLET","https://www.propertypro.ng/property/co-working-space-for-shortlet-cadbury-bustop-agidingbi-ikeja-lagos-1CSJB","Cadbury Bustop Agidingbi Ikeja Lagos","140,000"
"1 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-shortlet-behind-eko-hospital-abule-onigbagbo-mobolaji-bank-anthony-way-ikeja-lagos-3GUWM","Behind Eko Hospital, Abule Onigbagbo Mobolaji Bank Anthony Way Ikeja Lagos","30,000/day"
"1 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-shortlet-shonibare-estate-maryland-mobolaji-bank-anthony-way-ikeja-lagos-5ESHP","Shonibare Estate Maryland Mobolaji Bank Anthony Way Ikeja Lagos","40,000"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-eko-atlantic-victoria-island-lagos-6HVFS","Eko Atlantic Victoria Island Lagos","185,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-first-unity-estate-badore-badore-ajah-lagos-6FXQX","First Unity Estate , Badore Badore Ajah Lagos",""
"4 BEDROOM HOUSE FOR SHORTLET","https://www.propertypro.ng/property/4-bedroom-house-for-shortlet-ikoyi-lagos-4KFZB","Ikoyi Lagos","270,000/day"
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-lekki-phase-1-lekki-lagos-0GKNQ","Lekki Phase 1 Lekki Lagos","75,000/day"
